#structure
csvSeparator=;
structure=tree
dateFormat=dd/mm/yyyy
codeColumnsIndex=1,2
titleColumnIndex_PT=3

#metadata
name=CS_Prod_Trade
title_EN=CountrySTAT commodities
description_EN=CountrySTAT commodities
version=1.0
startDate=16/06/2014
sharingPolicy=publicPolicy
keywords=code list,commodities,production, trade, commodity,product,products,countrySTAT



--data--



;515;Maçã
;518;Sumo de maçã, não concentrado
;519;Sumo de maçã concetrado
;521;Peras
;523;Marmelos
;526;Damasco
;527;Damasco seco
;530;Ginjas
;531;Cerejas
;534;Pessegos e nectarinas
;536;Ameixas
;537;Abrunhos
;538;Sumo de ameixas, não concentrado
;539;Sumo de ameixas concentrado
;541;Caroço de frutas, ne
;542;Pomoideas
;544;Morangos
;547;Fambroesa
;549;Groselhas
;550;Cassis e groselhas
;552;Mirtilos
;554;Cranberries
;558;Bagas nes
;560;Uvas
;561;Passas de uva
;562;Sumo de uva
;569;Figos
;570;Figos secos
;571;Manga, mangostões e goiba
;572;Abacate
;574;Anánas
;575;Anánas em calda
;576;Sumo de anánas
;577;Tâmaras
;580;Sumo concetrado de anánas
;583;Sumo de manga
;584;Polpade manga
;587;Caquis
;591;Fruto do caju
;592;Kiwis
;600;Papaia
;603;Maracujas
;604;Frutos tropicais
;619;Frutos frescos
;620;Frutas secas, nes
;622;Sumo de fruta nes
;623;Frutas preparadas, nes
;624;Farinha de frutas
;625;Frutas, castanhas, Casca, preparado com açúcar
;626;Frutas cozidas homogeneisadas e preparadas
;767;Fibra de algodão
;768;Algodão cardado e penteado
;769;Estopa
;770;Fois de algodao
;771;Linho em bruto ou marcerado
;773;Fibras e estopa
;774;Estopa e desperdicios de linho
;777;Estopas e residuos de hemp
;778;Fibras de sumauma
;780;Juta e fibras aparentes
;782;Fibras analogas a juta
;788;Rami
;789;Sisal
;800;Fibras de agave
;809;Abaca, manila
;813;Fibra de coco
;821;Fibras de vegetais
;987;Lã gorduroso
;988;Lã magro
;1007;Lã desgastado
;1008;Hair Carded/ Combed
;1009;Residuos de fibras de algodao
;1010;Fitas de lã
;1030;Pêlos finos de cabra
;1031;Pêlos grossos de cabra
;1100;Crina
;1185;Casulos de seda cambaleados
;1186;Seda crua
;1187;Cocoon Unr.&Waste
;1218;Pêlos finos
;1219;Pêlos grosseiros
;687;Pimenta
