#structure
csvSeparator=;
structure=table
dateFormat=dd/mm/yyyy
codeColumnsIndex=1
titleColumnIndex_EN=2
descriptionColumnIndex_EN=3

#metadata
name=OECD_CommodityClass
title_EN=OECD Commodity Class Both
description_EN=OECD Commodity Class list
version=1.0
startDate=03/04/2014
sharingPolicy=publicPolicy


--data--

6;Biodiesel;jsdgfjsdbfjkdgbfjh
7;Biofuel;
5;Ethanol;
3;Maize;
9;Maize + Rice
10;Maize + Soybeans
2;Rice
4;Soybeans
1;Wheat
8;Wheat + Maize
11;Wheat + Maize + Rice
12;Wheat + Rice

